Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
ShareChat,"Internet, Mobile Apps, Social Media, Social Network","Bangalore, Karnataka, India",ShareChat is a social networking and regional content platform.,$100M to $500M,Active,2015,contact@sharechat.co,Late Stage Venture,"Apps, Internet Services, Media and Entertainment, Mobile, Software",3,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan",501-1000,18,Late Stage Venture,"$1,536,796,987","$1,761,474,005",Growing,High,"7,366,130",-3.83%,-30.58%,—,370
Boon,"Internet of Things, Smart Cities, Smart Home, Solar, Water, Water Purification","Gurgaon, Haryana, India",Water-tech startup using innovation for impact. Come celebrate water like it should be.,$1M to $10M,Active,2015,hello@helloboon.com,Early Stage Venture,"Consumer Electronics, Energy, Internet Services, Natural Resources, Real Estate, Sustainability",2,"Advait Kumar, Vibha Tripathi",101-250,5,—,"$22,200,000","$22,200,000",—,—,168,3.70%,13.79%,—,66
Awign,"Business Development, E-Commerce, EdTech, Hospitality, IT, Last Mile Transportation, Marketing, Outsourcing","Bengaluru, Karnataka, India",India's #1 Work Fulfillment Platform,$1M to $10M,Active,2016,contact@awign.com,M&A,"Commerce and Shopping, Education, IT, Professional Services, Sales and Marketing, Software, Transportation, Travel and Tourism",3,"Annanya Sarthak, Gurpreet Singh, Praveen Sah",251-500,9,M&A,"$51,023,371","$51,563,025",Growing,High,"13,786",-84.91%,-38.32%,—,647
BigHaat,"Agriculture, AgTech, E-Commerce, Farming, Retail","Bangalore, Karnataka, India",Agriculture e-commerce startup focusing on Agri-inputs,$1M to $10M,Active,2015,info@bighaat.com,Late Stage Venture,"Agriculture and Farming, Commerce and Shopping",3,"Raj Kancham, Sachin Nandwana, Sateesh Nukala",251-500,8,Late Stage Venture,"$24,438,338","$24,438,338",Growing,High,"532,116",38.74%,71.35%,—,879
Techjockey,"E-Commerce, Software","New Delhi, Delhi, India",IT e-commerce startup aggregating software vendors and fulfilling MSME software needs,$10M to $50M,Active,2016,connect@techjockey.com,Seed,"Commerce and Shopping, Software",2,"Akash Nangia, Arjun Mittal",101-250,2,Seed,"₹74,000,000","₹74,000,000",Growing,—,"329,413",7.54%,-49.85%,—,336
SuperMoney,"Employee Benefits, Financial Services","Mumbai, Maharashtra, India",Financial services startup offering credit-focused products to gig and blue-collar workers,—,Active,2015,—,Early Stage Venture,"Administrative Services, Financial Services, Health Care",2,"Nikhil Banerjee, Shiv Nandan Negi",101-250,2,Early Stage Venture,"$4,428,444","$4,428,444",—,—,"29,751",8.37%,2275.00%,—,95
mfine,"Apps, Artificial Intelligence (AI), Health Care, Hospital, Medical","Bengaluru, Karnataka, India",Health-tech startup developing an AI-powered telemedicine mobile app,$50M to $100M,Active,2017,connect@mfine.co,Late Stage Venture,"Apps, AI, Data and Analytics, Health Care, Science and Engineering, Software",4,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli",251-500,7,Late Stage Venture,"$93,068,082","$97,567,917",Growing,High,"176,506",-73.25%,17.78%,—,457
Staqu Technologies,"Analytics, Artificial Intelligence (AI), Audio, Computer Vision, Machine Learning, Software, Video Streaming","Delhi, Delhi, India",AI startup focusing on audio-video analytics and management through its product JARVIS,$1M to $10M,Active,2015,hello@staqu.com,Seed,"AI, Content and Publishing, Data and Analytics, Hardware, Media and Entertainment, Music and Audio, Software, Video",5,"Abhishek Sharma, Anurag Saini, Atul Rai, Chetan Rexwal, Pankaj Sharma",11-50,3,Seed,"₹110,000,000","₹110,500,000",Growing,—,"3,113",49.45%,1037.50%,—,364
SleepyCat,"Consumer, Consumer Goods, E-Commerce, Retail","Mumbai, Maharashtra, India",Online direct-to-consumer mattress and sleep solutions startup,$1B to $10B,Active,2017,info@sleepycat.in,Early Stage Venture,"Commerce and Shopping, Consumer Goods, Other",1,Kabir Siddiq,51-100,2,Early Stage Venture,"₹390,000,000","₹390,000,000",Growing,—,"308,296",1.25%,-55.91%,—,194
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital","Mumbai, Maharashtra, India",Equity crowdfunding platform connecting investors with start-ups and early-stage ventures,Less than $1M,Active,2015,info@1crowd.co,"Early Stage Venture, Seed, Venture","Financial Services, Lending and Investments, Other",2,"Anil Gudibande, Anup Kuruvilla",11-50,3,Seed,"$3,500,000","$3,500,000",Growing,Medium,419,331.96%,-3.92%,—,90
T-Hub,"Association, Communities, Education, Government, Non Profit","Hyderabad, Andhra Pradesh, India",Ecosystem designed to turn entrepreneurial ideas into reality,$1M to $10M,Active,2015,connect@t-hub.co,—,"Community and Lifestyle, Education, Government and Military, Other, Social Impact",4,"Jay Krishnan, Naveen Kumar.V, Srinivas Kollipara, Venkat Rama Mohan Reddy",11-50,—,—,—,—,Growing,High,"15,003",-77.53%,76.51%,—,556
Clensta,"Biotechnology, Health Care, Sustainability, Wellness","New Delhi, Delhi, India",D2C personal and home care startup developing cleaning solutions,$1M to $10M,Active,2016,info@clensta.com,Early Stage Venture,"Biotechnology, Health Care, Science and Engineering, Sustainability",1,Puneet Gupta,101-250,7,Early Stage Venture,"₹950,000,000","₹1,030,000,000",Growing,High,"5,157",-54.46%,208.33%,4,111
Revv,"Apps, Automotive, Rental","Gurgaon, Haryana, India",Online car-rental startup providing cars for rental and subscription,$1M to $10M,Active,2015,care@revv.co.in,M&A,"Apps, Commerce and Shopping, Software, Transportation",2,"Anupam Agarwal, Karan Jain",101-250,3,M&A,"$23,300,000","$23,300,000",—,—,"422,543",-18.41%,34.45%,—,160
AdvaRisk,"Financial Services, FinTech","Mumbai, Maharashtra, India",B2B fraud detection and decision support platform for financial institutions,$1M to $10M,Active,2016,info@advarisk.com,Seed,Financial Services,2,"Rahul Metkar, Vishal Sharma",51-100,1,Seed,"$700,000","$700,000",Growing,—,739,-79.98%,-91.92%,—,108
Arcatron Mobility,"Assisted Living, Hardware, Health Care","Pune, Maharashtra, India",Reinventing assisted living by building next-gen devices,$1M to $10M,Active,2015,contact@arcatron.com,—,"Hardware, Health Care",4,"Dewaj Baruah, Ganesh Sonawane, Kunal Kamble, Laxmikant Banjarey",11-50,7,—,"$526,119","$526,119",Growing,High,"1,148",-41.49%,-96.40%,—,8
Chqbook,"Banking, Big Data, Financial Services, FinTech, Lending","Gurgaon, Haryana, India","Fintech startup offering customers to explore, compare, book, and get personal finance products",$1M to $10M,Active,2017,care@chqbook.com,—,"Data and Analytics, Financial Services, Lending and Investments",4,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma",251-500,6,—,"$10,417,107","$11,417,107",Growing,—,849,-60.40%,57500.00%,—,0
GUSEC,"Blockchain, Hardware, Incubators, Information Technology","Ahmedabad, Gujarat, India","Empowering, nurturing and supporting startups, entrepreneurs, and innovators",—,Active,2016,contact@gusec.edu.in,"Early Stage Venture, Seed","Blockchain and Cryptocurrency, Financial Services, Hardware, Information Technology, Lending and Investments, Other",1,Rahul Bhagchandani,11-50,1,—,"₹100,000,000",—,—,—,"5,175",2047.30%,504.55%,—,133
Credenc,"Education, Financial Services, FinTech","New Delhi, Delhi, India",Digital education loan platform for higher education,$1M to $10M,Active,2017,contact@credenc.com,—,"Education, Financial Services",2,"Avinash Kumar, Mayank Batheja",101-250,3,—,"$27,435,478","$27,435,478",—,—,"17,289",431.32%,303.85%,—,315
Hitwicket,"Gaming, Sports","Hyderabad, Andhra Pradesh, India",Building the world's first billion-dollar game for cricket,Less than $1M,Active,2015,partnerships@hitwicket.com,Seed,"Gaming, Sports",2,"Kashyap Reddy, Keerti Singh",51-100,5,Seed,"$3,467,300","$3,467,300",Growing,High,"23,707",-64.17%,-34.88%,—,224
BioPrime AgriSolutions,"Biotechnology, Internet, Marketing","Pune, Maharashtra, India",A startup transforming agriculture with disruptive products and services,$1M to $10M,Active,2016,info@bioprimeagri.com,Early Stage Venture,"Biotechnology, Internet Services, Sales and Marketing, Science and Engineering",3,"DR. AMIT SHINDE, RENUKA DIWAN, SHEKHAR BHOSALE",11-50,4,Early Stage Venture,"$8,591,953","$8,591,953",Growing,—,93,-85.21%,2241.67%,—,0
Incuspaze Office Spaces,"Commercial Real Estate, Coworking","Gurgaon, Haryana, India",Leading office space provider in India,$1M to $10M,Active,2016,buzz@incuspaze.com,Early Stage Venture,Real Estate,1,Sanjay Choudhary,11-50,1,Early Stage Venture,"₹700,000,000","₹700,000,000",Growing,Medium,"2,381",13.60%,-50.57%,—,43
CRON Systems,"Drones, Internet of Things, Wireless","New Delhi, Delhi, India",Deep-tech startup delivering innovative situational awareness sensing solutions,$1M to $10M,Active,2015,connect@cronsystems.com,Early Stage Venture,"Consumer Electronics, Consumer Goods, Hardware, Internet Services, Mobile",4,"Farheen Ahmad, Saurav Agarwala, Tommy Katzenellenbogen, Tushar Chhabra",11-50,4,Early Stage Venture,"$4,132,009","$4,132,009",—,—,—,—,—,5,—
Favcy,Information Technology,"Gurgaon, Haryana, India",Venture building platform,Less than $1M,Active,2015,pc@favcy.in,—,Information Technology,3,"Harshit Joshi, Nischaiy Pradhan, Pranav Chaturvedi",11-50,3,—,"₹18,000,000","₹18,000,000",—,—,270,-42.92%,-23.64%,—,0
GenRobotic,"Artificial Intelligence (AI), Market Research","Trivandrum, Kerala, India",Specializing in powered robotic exoskeletons and humanoid robotic systems with AI,$1M to $10M,Active,2015,info@genrobotics.org,M&A,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",2,"Nikhil NP, Vimal Govind MK",101-250,5,M&A,"₹225,000,000","$3,958,049",Growing,—,—,—,—,3,—
The Healthy Billion,"Fitness, Health Care, Information Technology, Wellness","Gurgaon, Haryana, India",Clinical intelligence startup enabling healthcare with IT solutions,$10M to $50M,Active,2016,hello@thb.co.in,—,"Health Care, Information Technology, Sports",4,"Akansh Khurana, Gagandeep Singh, Rajesh Pachar, Rohit Kumar",101-250,3,—,"$22,100,000","$22,100,000",Growing,—,"11,000",-97.81%,—,—,0
Doodhvale,"Agriculture, Food and Beverage, Food Delivery, Mobile Apps, Nutrition, Organic Food","New Delhi, Delhi, India",India’s first online fresh cow milk provider delivering from its own dairy farm to customer doorsteps,—,Active,2016,care@doodhvale.in,Early Stage Venture,"Agriculture and Farming, Apps, Food and Beverage, Health Care, Mobile, Software, Transportation",2,"Ishu Jain, Sanjay Jain",11-50,2,Early Stage Venture,"$3,000,000","$3,000,000",—,—,"30,648",508.34%,414.81%,—,834
Wishup.co,"Employment, Human Resources, Software, Virtual Assistant","Azadpur, Delhi, India",Platform for hiring pre-interviewed and trained remote employees for startups,$1M to $10M,Active,2015,vivek@wishup.co,Seed,"Administrative Services, Professional Services, Software",2,"Neelesh Rangwani, Vivek Gupta",51-100,3,Seed,"$1,000,000","$1,000,000",—,—,"268,747",-26.12%,36.18%,0,926
myHQ,"Collaboration, Communities, Coworking, Food and Beverage, Hospitality, Real Estate, Sharing Economy","Delhi, Delhi, India",Flexible workspace provider with 300+ spaces in 125+ locations across India,$1M to $10M,Active,2016,contact@myhq.in,—,"Community and Lifestyle, Food and Beverage, Other, Real Estate, Travel and Tourism",2,"Utkarsh Kawatra, Vinayak Agarawal",101-250,6,M&A,"$2,600,000","$2,600,000",Growing,—,"211,263",119.63%,12.99%,—,200
Mother Sparsh Baby Care,"Child Care, Online Portals, Personal Health, Wellness","Haryana, Haryana, India",Premium Ayurvedic and natural personal care startup in the D2C space for mothers and babies,$10M to $50M,Active,2016,info@mothersparsh.com,Early Stage Venture,"Health Care, Internet Services",2,"Himanshu Gandhi, Rishu Gandhi",51-100,2,Early Stage Venture,"₹335,000,000","₹335,000,000",Growing,High,"235,112",227.96%,158.65%,—,613
YNOS Venture Engine CC,"Analytics, Venture Capital","Chennai, Tamil Nadu, India",A data analytics startup,Less than $1M,Active,2017,—,Seed,"Data and Analytics, Financial Services, Lending and Investments",1,Thillai Rajan,11-50,2,Seed,"₹32,500,000","₹32,500,000",—,—,"42,531",58.09%,35.76%,—,224
GoZefo,"Computer, E-Commerce, Furniture","Bangalore, Karnataka, India",Startup focusing on a white space in the eCommerce industry,$10M to $50M,Closed,2015,contact@gozefo.com,—,"Commerce and Shopping, Consumer Electronics, Consumer Goods, Hardware",4,"Arjit Gupta, Himesh Joshi, Karan Gupta, Rohit Ramasubramanian",11-50,4,M&A,"$19,003,996","$19,003,996",—,—,—,—,—,—,—
Blackbuck,"Information Services, Logistics, Supply Chain Management, Transportation","Bengaluru, Karnataka, India",Logistics company simplifying trucking for every shipper and trucker,$10M to $50M,Active,2015,careers@blackbuck.com,IPO,"Information Technology, Transportation",3,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B",5001-10000,9,IPO,"$352,308,815","$363,995,198",Growing,—,"127,013",-31.17%,-25.94%,0,217
ClassMonitor,"Baby, E-Learning, Parenting","Indore, Madhya Pradesh, India",A homeschooling-focused ed-tech startup,$1M to $10M,Active,2016,—,Seed,"Community and Lifestyle, Education, Software",2,"Vijeet Pandey, Vikas Rishishwar",11-50,3,Seed,"₹160,000,000","₹160,000,000",—,—,"13,584",93.37%,2384.38%,—,"1,590"
Innov8 Coworking,"Collaboration, Communities, Coworking, PropTech, Real Estate","New Delhi, Delhi, India",Y-Combinator backed company offering coworking and shared office spaces,$1M to $10M,Active,2015,hello@innov8.work,M&A,"Community and Lifestyle, Other, Real Estate",3,"Dr Ritesh Malik, Shailesh Gupta, Sumit Ranka",11-50,4,M&A,"$4,000,000","$4,000,000",Growing,—,"11,561",48.14%,-57.04%,—,244
Embassy Office Parks REIT,"Commercial Real Estate, Construction, Property Development, Property Management, Rental","Bangalore City, Karnataka, India","Engaged in real estate & property development, offering rental services for office spaces, startups, and companies",—,Active,2017,energize@embassyofficeparks.com,IPO,"Commerce and Shopping, Real Estate",—,—,10000-11000,2,IPO,—,"₹30,000,000,000",Growing,High,—,—,—,—,—
StartupLanes,Venture Capital,"Panaji, Goa, India","An ecosystem for startups & investors in 56 cities across 15 countries, ranked #1 as the fastest-growing internet company",—,Active,2016,ceo@startuplanes.com,"Seed, Venture","Financial Services, Lending and Investments",2,"Neha Gupta, Shishir Gupta",501-1000,1,Seed,"$1,000,000","$1,000,000",—,—,"19,035",168.51%,-13.70%,—,378
AutoNxt Automation,Automotive,"Thane, Maharashtra, India",World's first electric autonomous tractor company,$1M to $10M,Active,2016,—,Seed,Transportation,1,Kaustubh Dhonde,1-10,4,Seed,"$4,001,472","$4,001,472",Growing,High,93,-52.06%,-43.32%,—,46
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage","Mumbai, Maharashtra, India",Electric Vehicle (EV) & Energy Storage company,Less than $1M,Active,2015,info@gegadyne.com,—,"Energy, Transportation",1,Jubin Varghese,51-100,2,—,"$5,000,000","$5,000,000",Growing,—,354,230.84%,240%,5,163
Inc42,"Media and Entertainment, News, Publishing","New Delhi, Delhi, India",Leading tech & startup media publication in India,$10M to $50M,Active,2015,support@inc42.com,—,"Content and Publishing, Media and Entertainment",3,"Pooja Sareen, Utkarsh Agarwal, Vaibhav Vardhan",11-50,8,—,—,—,Growing,—,"1,332,665",5.91%,1.04%,—,292
Rare Planet,Handmade,"Kolkata, West Bengal, India",Retail startup selling handicrafts made by local artisans,—,Active,2015,—,Seed,Consumer Goods,2,"Ranodeep Saha, Vijay Kumar TR",51-100,3,Seed,"$722,485","$722,485",Growing,—,—,—,—,—,—
Kritsnam Technologies,"Internet of Things, Software","Kanpur, Uttar Pradesh, India",Focused on IoT with water resource management solutions,$1M to $10M,Active,2015,contact@kritsnam.in,Seed,"Internet Services, Software",2,"K. Sri Harsha, Satya komal Nandam",1-10,6,Seed,"$2,293,659","$2,706,111",—,—,—,—,—,—,—
TrustCheckr,"Artificial Intelligence (AI), Fraud Detection, Information Technology, Internet, Machine Learning","Bengaluru, Karnataka, India",Fraud analytics solution provider,—,Closed,2017,—,M&A,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Payments, Privacy and Security, Science and Engineering, Software",3,"Adhip Ramesh, Praveen Raj, Shivraj Harsha Mysore",1-10,2,M&A,"$1,023,141","$1,023,141",Growing,Medium,75,—,—,—,0
PharmEasy,"E-Commerce, Health Care, Health Diagnostics, Pharmaceutical, Wellness","Mumbai, Maharashtra, India",Online health service that connects users to local pharmacies and labs for medicine delivery and diagnostics,$10B+,Active,2015,care@pharmeasy.in,—,"Commerce and Shopping, Health Care",4,"Dharmil Sheth, Dhaval Shah, Mikhil Innani, Siddharth Shah",5001-10000,15,—,"$1,633,225,436","$1,658,730,582",—,—,"6,403,560",-4.76%,-6.24%,—,406
